HTTP/1.1 200 OK
Date: Tue, 01 Apr 2014 03:19:00 GMT
P3P: policyref="http://info.yahoo.com/w3c/p3p.xml", CP="CAO DSP COR CUR ADM DEV TAI PSA PSD IVAi IVDi CONi TELo OTPi OUR DELi SAMi OTRi UNRi PUBi IND PHY ONL UNI PUR FIN COM NAV INT DEM CNT STA POL HEA PRE LOC GOV"
Content-Type: text/csv
Cache-Control: private
Vary: Accept-Encoding,X-Ssl
Age: 0
Via: http/1.1 media-border450.global.media.gq1.yahoo.com (ApacheTrafficServer/4.0.2 [cMsSf ]), http/1.1 r16.ycpi.gq1.yahoo.net (ApacheTrafficServer/4.0.2 [cMsSf ])
Server: ATS
Transfer-Encoding: chunked
Connection: keep-alive

Date,Open,High,Low,Close,Volume,Adj Close
2014-03-31,129.90,129.90,128.00,128.60,2848500,125.70
2014-03-28,128.90,129.40,127.10,127.50,4396800,124.62
2014-03-27,127.10,128.70,126.50,128.10,4669500,125.21
2014-03-26,124.20,127.30,124.20,126.80,5986000,123.94
2014-03-25,123.40,124.50,122.50,124.10,4424300,121.30
2014-03-24,125.30,125.90,120.70,123.10,9751700,120.32
2014-03-21,122.20,123.10,121.40,122.80,4692700,120.03
2014-03-20,122.00,122.00,120.20,120.60,2854800,117.88
2014-03-19,121.50,122.60,120.20,122.60,2294100,119.84
2014-03-18,122.20,122.20,120.30,121.10,2044400,118.37
2014-03-17,120.70,122.40,120.70,121.50,2274100,118.76
2014-03-14,121.20,122.80,120.60,120.80,3652500,118.08
2014-03-13,123.70,124.50,122.20,122.40,3012000,119.64
2014-03-12,123.80,124.70,122.90,123.10,3470000,120.32
2014-03-11,125.90,125.90,124.60,125.20,2165400,122.38
2014-03-10,125.00,125.20,123.40,124.80,4491000,121.99
2014-03-07,126.30,127.00,125.50,126.30,4625600,123.45
2014-03-06,124.80,125.80,124.40,125.60,5028300,122.77
2014-03-05,124.00,125.00,123.50,124.60,6277200,121.79
2014-03-04,121.30,123.80,121.00,123.60,4182900,120.81
2014-03-03,120.50,121.30,118.60,120.70,3443100,117.98
2014-02-28,121.70,123.80,119.90,121.60,5616700,118.86
2014-02-27,119.00,121.00,118.40,120.50,3666300,117.78
2014-02-26,119.20,119.30,118.00,118.20,3397600,115.53
2014-02-25,119.50,119.80,118.50,119.20,4949800,116.51
2014-02-24,119.60,119.60,117.70,118.80,3776400,116.12
2014-02-21,117.50,118.50,117.20,118.40,2527500,115.73
2014-02-20,119.20,119.20,116.00,116.10,3442800,113.48
2014-02-19,119.20,119.40,118.40,118.50,2859300,115.83
2014-02-18,116.50,118.40,116.30,117.80,1971300,115.14
2014-02-17,119.10,119.50,116.10,116.70,3292400,114.07
2014-02-14,119.50,119.50,117.50,118.20,3462300,115.53
2014-02-13,117.00,118.40,116.30,117.40,3952100,114.75
2014-02-12,115.30,117.50,113.90,116.60,4083900,113.97
2014-02-11,113.50,115.50,113.10,114.30,2656900,111.72
2014-02-10,113.70,114.00,111.80,112.70,3212600,110.16
2014-02-07,113.10,114.30,112.30,113.00,4353200,110.45
2014-02-06,112.50,114.20,112.30,113.40,2880600,110.84
2014-02-05,115.80,115.90,112.60,113.20,3934200,110.65
2014-02-04,112.80,115.60,112.70,114.90,5440500,112.31
2014-02-03,114.90,114.90,114.90,114.90,000,112.31
2014-01-31,114.90,114.90,114.90,114.90,000,112.31
2014-01-30,113.90,115.30,113.60,114.90,2551700,112.31
2014-01-29,117.70,117.70,114.50,114.80,3301500,112.21
2014-01-28,117.10,117.30,115.10,117.00,3189600,114.36
