HTTP/1.1 200 OK
Date: Tue, 01 Apr 2014 03:20:26 GMT
P3P: policyref="http://info.yahoo.com/w3c/p3p.xml", CP="CAO DSP COR CUR ADM DEV TAI PSA PSD IVAi IVDi CONi TELo OTPi OUR DELi SAMi OTRi UNRi PUBi IND PHY ONL UNI PUR FIN COM NAV INT DEM CNT STA POL HEA PRE LOC GOV"
Content-Type: text/csv
Cache-Control: private
Vary: Accept-Encoding,X-Ssl
Age: 0
Via: http/1.1 media-border8.global.media.gq1.yahoo.com (ApacheTrafficServer/4.0.2 [cMsSf ]), http/1.1 r01.ycpi.sp2.yahoo.net (ApacheTrafficServer/4.0.2 [cMsSf ])
Server: ATS
Transfer-Encoding: chunked
Connection: keep-alive

Date,Open,High,Low,Close,Volume,Adj Close
2014-03-31,3.72,3.80,3.63,3.74,5180000,3.59
2014-03-28,3.75,3.75,3.66,3.72,2560000,3.57
2014-03-27,3.80,3.82,3.67,3.76,2320000,3.61
2014-03-26,3.73,3.78,3.69,3.76,1160600,3.61
2014-03-25,3.78,3.78,3.64,3.74,2780000,3.59
2014-03-24,3.65,3.70,3.62,3.70,3072000,3.55
2014-03-21,3.60,3.66,3.51,3.61,10661500,3.47
2014-03-20,3.68,3.68,3.55,3.60,2299000,3.46
2014-03-19,3.58,3.68,3.58,3.65,3112000,3.50
2014-03-18,3.79,3.79,3.60,3.63,2269900,3.48
2014-03-17,3.70,3.76,3.59,3.71,1868000,3.56
2014-03-14,3.63,3.64,3.56,3.62,4984000,3.47
2014-03-13,3.62,3.73,3.62,3.65,3515000,3.50
2014-03-12,3.83,3.83,3.61,3.62,3686000,3.47
2014-03-11,3.62,3.70,3.59,3.65,1471000,3.50
2014-03-10,3.66,3.70,3.54,3.62,2421000,3.47
2014-03-07,3.66,3.75,3.66,3.71,3140000,3.56
2014-03-06,3.62,3.64,3.54,3.63,862000,3.48
2014-03-05,3.52,3.58,3.50,3.52,1093000,3.38
2014-03-04,3.50,3.55,3.47,3.52,932000,3.38
2014-03-03,3.50,3.54,3.41,3.46,2118000,3.32
2014-02-28,3.59,3.62,3.47,3.53,1298000,3.39
2014-02-27,3.46,3.57,3.45,3.56,2660000,3.42
2014-02-26,3.52,3.52,3.45,3.48,945000,3.34
2014-02-25,3.51,3.65,3.51,3.55,2007000,3.41
2014-02-24,3.44,3.53,3.40,3.51,1464700,3.37
2014-02-21,3.46,3.51,3.44,3.45,1994000,3.31
2014-02-20,3.38,3.46,3.32,3.46,1396000,3.32
2014-02-19,3.45,3.46,3.38,3.39,675000,3.25
2014-02-18,3.42,3.45,3.38,3.45,981000,3.31
2014-02-17,3.38,3.45,3.37,3.45,1519800,3.31
2014-02-14,3.44,3.46,3.35,3.39,1732000,3.25
2014-02-13,3.41,3.48,3.37,3.39,2454000,3.25
2014-02-12,3.47,3.52,3.42,3.42,2283000,3.28
2014-02-11,3.54,3.54,3.45,3.45,1680000,3.31
2014-02-10,3.48,3.61,3.46,3.54,1410000,3.40
2014-02-07,3.41,3.60,3.41,3.54,1742900,3.40
2014-02-06,3.33,3.42,3.33,3.41,850000,3.27
2014-02-05,3.36,3.37,3.30,3.31,1678000,3.18
2014-02-04,3.35,3.45,3.29,3.34,1662000,3.21
2014-02-03,3.45,3.45,3.45,3.45,000,3.31
2014-01-31,3.45,3.45,3.45,3.45,000,3.31
2014-01-30,3.36,3.45,3.31,3.45,1305000,3.31
2014-01-29,3.35,3.50,3.35,3.43,3263000,3.29
2014-01-28,3.32,3.36,3.30,3.34,1580000,3.21
2014-01-27,3.40,3.40,3.22,3.31,1987000,3.18
2014-01-24,3.49,3.49,3.41,3.41,1354000,3.27
2014-01-23,3.56,3.65,3.47,3.49,2459000,3.35
2014-01-22,3.61,3.61,3.49,3.53,3390000,3.39
2014-01-21,3.60,3.64,3.59,3.61,971000,3.47
